year,month,day,percent
2010,5,13,0
2010,5,14,40.18797376
2010,5,15,45.97589228
2010,5,16,52.66141744
2010,5,17,49.33602279
2010,5,18,47.7105063
2010,5,19,21.36236453
2010,5,20,18.28752085
2010,5,21,12.46630575
2010,5,22,7.117579589
2010,5,23,9.123297044
2010,5,24,10.15093619
2010,5,25,12.67809895
2010,5,26,18.11055176
2010,5,27,37.23683462
2010,5,28,45.04574456
2010,5,29,53.63757823
2010,5,31,53.05692742
2010,6,1,50.44539798
2010,6,3,44.03458151
2010,6,4,44.35591189
2010,6,6,45.15235148
2010,6,7,37.89988343
2010,6,8,23.41954707
2010,6,9,12.38182581
2010,6,10,21.93274227
2010,6,11,33.99513993
2010,6,12,115.8361974
2010,6,13,64.40837593
2010,6,14,54.12101833
2010,6,15,49.68497227
2010,6,16,47.12330676
2010,6,17,34.04717565
2010,6,18,22.24214512
2010,6,19,20.59077188
2010,6,20,13.33530348
2010,6,21,15.04183898
2010,6,22,37.40512969
2010,6,23,23.43850253
2010,6,24,44.2664354
2010,6,25,51.24136581
2010,6,26,64.64227685
2010,6,27,67.85122362
2010,6,28,139.11087
2010,6,29,71.09613989
2010,6,30,67.1529097
2010,7,1,59.6955642
2010,7,2,59.78429025
2010,7,3,48.89852246
2010,7,5,21.26541908
2010,7,6,38.4201846
2010,7,7,12.8421841
2010,7,8,23.37348425
2010,7,9,28.70220391
2010,7,10,31.42665364
2010,7,11,62.61337195
2010,7,12,30.83506974
2010,7,13,29.97431559
2010,7,14,60.8946801
2010,7,15,28.01862003
2010,7,16,22.38236388
2010,7,17,14.25842365
2010,7,18,12.4777242
2010,7,19,13.69499523
2010,7,20,13.37817884
2010,7,21,16.27481122
2010,7,22,19.66167823
2010,7,23,33.14220998
2010,7,24,42.75307389
2010,7,25,46.27737645
2010,7,26,51.12268868
2010,7,28,58.63103156
2010,7,29,63.61142805
2010,7,30,53.90683008
2010,7,31,44.81561179
2010,8,1,28.42518772
2010,8,2,22.71810777
2010,8,3,15.87583908
2010,8,4,21.62515871
2010,8,5,17.31999998
2010,8,6,13.14878777
2010,8,7,14.29515892
2010,8,8,18.07169426
2010,8,9,25.22791488
2010,8,10,27.68669852
2010,8,11,25.19077113
2010,8,12,22.0945154
2010,8,13,16.90776381
2010,8,14,19.06771803
2010,8,15,16.2280489
2010,8,16,16.64743836
2010,8,17,16.62279166
2010,8,18,24.05701576
2010,8,19,29.20088589
2010,8,20,35.20093769
2010,8,21,38.90577977
2010,8,22,40.89062122
2010,8,23,44.86587734
2010,8,24,42.49454642
2010,8,25,83.78341253
2010,8,26,52.74848443
2010,8,27,56.0904422
2010,8,28,48.02048621
2010,8,29,71.5733615
2010,8,30,23.0683776
2010,8,31,30.17546732
2010,9,1,20.99942883
2010,9,2,13.12246863
2010,9,3,18.49550101
2010,9,4,25.64640388
2010,9,5,16.67652611
2010,9,6,17.52288966
2010,9,7,23.68608834
2010,9,8,11.47701817
2010,9,10,12.62489297
2010,9,11,12.61596046
2010,9,12,32.16550117
2010,9,13,12.50701165
2010,9,14,15.36839075
2010,9,15,20.52433509
2010,9,16,29.89947389
2010,9,17,36.19530411
2010,9,18,67.39530506
2010,9,19,34.07096583
2010,9,20,30.09519484
2010,9,21,31.07537662
2010,9,22,34.82329691
2010,9,23,38.96260463
2010,9,24,40.91963804
2010,9,25,37.96970451
2010,9,26,29.93060128
2010,9,27,24.69276813
2010,9,28,46.27594097
2010,9,29,19.51366519
2010,9,30,13.84811168
2010,10,1,14.37138242
2010,10,2,18.11428571
2010,10,3,19.99295235
2010,10,4,18.33488644
2010,10,5,17.01196361
2010,10,6,16.96993432
2010,10,7,12.05332359
2010,10,8,15.81776043
2010,10,9,26.22886673
2010,10,10,46.92559538
2010,10,11,16.5884132
2010,10,12,30.94316236
2010,10,13,0
2010,10,14,1.128072282
2010,10,15,1.725182233
2010,10,16,10.63327774
2010,10,17,17.75058768
2010,10,18,17.15415387
2010,10,19,25.585488
2010,10,20,29.24445366
2010,10,21,30.63711297
2010,10,22,27.46017103
2010,10,23,24.75667619
2010,10,24,23.27095577
2010,10,25,18.33149766
2010,10,26,18.67804972
2010,10,27,32.3700886
2010,10,28,35.54472615
2010,10,29,24.54873317
2010,10,30,20.27042108
2010,10,31,13.9461052
2010,11,1,17.95155366
2010,11,2,11.6151197
2010,11,3,13.64549762
2010,11,4,9.489622548
2010,11,5,0
2010,11,6,0
2010,11,7,18.41576358
2010,11,8,17.22723087
2010,11,9,16.35815156
2010,11,11,25.72528716
2010,11,12,18.72343506
2010,11,13,13.41882718
2010,11,14,16.04514613
2010,11,15,18.02834479
2010,11,16,20.13352655
2010,11,19,11.59873557
2010,11,20,8.983372742
2010,11,21,7.712627156
2010,11,22,7.631658489
2010,11,24,26.49027979
2010,11,25,29.51652192
2010,11,27,28.15207235
2010,11,28,31.27849775
2010,11,29,30.22509028
2010,11,30,24.32010187
2010,12,1,28.43018066
2010,12,2,31.75268332
2010,12,5,30.83866722
2010,12,6,30.52259071
2010,12,7,28.49311685
2010,12,8,26.74070862
2010,12,9,25.59829212
2010,12,10,27.27843376
2010,12,17,25.97274839
2010,12,18,23.94715941
2010,12,19,15.53454154
2010,12,21,8.500883619
2010,12,22,11.81447281
2010,12,23,11.40646345
2010,12,24,17.55592854
2011,1,1,50.62183872
2011,1,2,54.69330144
2011,1,3,54.64625298
2011,1,4,69.01146851
2011,1,5,71.02999563
2011,1,6,53.43755165
2011,1,7,41.31706417
2011,1,8,39.03762466
2011,1,9,52.36737514
2011,1,10,51.71984506
2011,1,11,49.17655113
2011,1,12,52.52210776
2011,1,13,51.43478861
2011,1,14,52.37534762
2011,1,15,46.15559169
2011,1,16,45.25000098
2011,1,17,45.68637241
2011,1,18,30.67214532
2011,1,19,22.52497175
2011,1,20,18.38815464
2011,1,21,12.67299878
2011,1,22,9.041576322
2011,1,23,12.5702798
2011,1,24,22.06262726
2011,1,25,23.29559967
2011,1,26,23.89917931
2011,1,27,29.36278849
2011,1,28,33.81597336
2011,1,29,46.05187819
2011,1,30,57.62121209
2011,1,31,76.04962458
2011,2,1,76.36462039
2011,2,2,78.2625442
2011,2,3,75.13070479
2011,2,4,66.39573584
2011,2,5,53.46916092
2011,2,6,36.79623692
2011,2,7,45.4151455
2011,2,8,54.34315179
2011,2,9,58.63823552
2011,2,10,58.16313195
2011,2,11,64.88661577
2011,2,12,70.31001773
2011,2,13,75.77431908
2011,2,14,143.6162591
2011,2,15,128.387246
2011,2,16,57.48049232
2011,2,17,50.53431987
2011,2,18,44.34449852
2011,2,19,29.77011527
2011,2,20,51.36179343
2011,2,21,25.21973064
2011,2,22,19.42807193
2011,2,23,15.55632151
2011,2,24,19.57867721
2011,2,25,25.13201772
2011,2,26,38.1255491
2011,2,27,49.34030083
2011,2,28,56.79030707
2011,3,1,57.00560397
2011,3,2,57.0720201
2011,3,3,62.16492594
2011,3,4,38.78126119
2011,3,5,58.68271627
2011,3,6,55.5660916
2011,3,7,58.42021186
2011,3,8,42.12410932
2011,3,9,62.45346599
2011,3,10,68.23776749
2011,3,11,76.83776913
2011,3,12,78.74462877
2011,3,13,71.80032677
2011,3,14,68.62904827
2011,3,15,66.23640131
2011,3,16,59.42198463
2011,3,17,63.39572522
2011,3,20,63.21747655
2011,3,21,62.84704315
2011,3,22,56.56013908
2011,3,23,47.98612374
2011,3,24,39.92000535
2011,3,25,35.69834016
2011,3,26,38.43471297
2011,3,27,32.80591071
2011,3,28,27.82650105
2011,3,29,22.76158973
2011,3,30,19.82018654
2011,3,31,25.45832466
2011,4,1,23.26906447
2011,4,2,23.21086995
2011,4,3,22.13576342
2011,4,4,27.08029498
2011,4,5,2.90590821
2011,4,6,0.7826764926
2011,4,7,51.94745484
2011,4,8,56.74351166
2011,4,9,56.11822923
2011,4,10,57.72390785
2011,4,11,63.22444775
2011,4,12,58.33759567
2011,4,13,72.59277438
2011,4,14,87.2386135
2011,4,15,89.2884634
2011,4,16,95.55491888
2011,4,17,92.04362232
2011,4,18,86.56354844
2011,4,19,161.0454644
2011,4,20,63.2126381
2011,4,21,109.9856491
2011,4,22,51.91339842
2011,4,23,82.81806141
2011,4,24,68.87027849
2011,4,25,50.48499048
2011,4,26,47.20256236
2011,4,27,20.74019754
2011,4,28,20.63760253
2011,4,29,25.44858809
2011,4,30,24.1713004
2011,5,1,29.59517248
2011,5,2,26.57739888
2011,5,3,27.40968814
2011,5,4,37.11441681
2011,5,5,41.53947501
2011,5,6,43.08036171
2011,5,7,29.12622265
2011,5,8,31.59096979
2011,5,9,38.40062964
2011,5,10,52.74368966
2011,5,11,58.32321675
2011,5,12,72.68485123
2011,5,13,73.48844296
